word1,word1_FE,word2,word2 FE,generated_sentence
bottom,Explanation,look,Result,larvae the eggs of amphibians are typically laid place of articulation p to look like the widened mouth on the bottom
bottom,Explanation,look,Goal,to look for work abroad run out of the bottom she became john mccain s vice presidential running mate
bottom,Purpose,look,Agent,it was released in 1924 by of reducing schooling costs weight and by their friction along the bottom
bottom,Circumstances,look,Event_description,they finally had a chance to look unk at nero designed a ship that would open at the bottom while
bottom,Place,look,Goal,to look for work abroad to let the bottom the capital of afghanistan from kandahar to kabul in 1776
bottom,Event,look,Circumstances,them to crawl along the sea bottom s now look at a common example of adiabatic compression the compression stroke in a gasoline engine
agriculture,Place,look,Container_possessor,will look like because of the details and complexities of contracts of the will look like because of the details and complexities of contracts
agriculture,Use,look,Circumstances,field of engineering look at requirements of smallholder agriculture in the country field of engineering look at requirements
agriculture,Relative_location,look,Container_possessor,the feudal system of agriculture in france was the only sector important to maintain the wealth realm view
agriculture,Ground,look,Figures,there is growing support for sustainable agriculture eg when the younger brother wanted to look away from the human corpses and animal carcasses scattered
agriculture,Degree,look,Individuals,not agrarianism claims that agriculture is the foundation of all that make it look superficially like a single flower
agriculture,Circumstances,look,Container_possessor,anarchist his position demanded that he look to the wellbeing in order to correct mineral deficiencies
agriculture,Container_possessor,look,Circumstances,anarchist country city s buildings look unk when they have been newly cleaned and the cement has been pointed
agriculture,Unit,look,Multiplier,years one s attention to look into the interior of the face and the body which were not represented as lifeless masses years
agriculture,Mass,look,Individuals,industries such as agriculture were few from a sound s place of articulation p to look like the widened mouth
agriculture,Individuals,look,Mass,look white and have high albedo because the water is foamed up were few land used for agriculture
agriculture,Degree,look,Mass,others agrarianism claims that agriculture is the foundation of all who exhibited the social revolt characteristics of later anarchists
agriculture,Circumstances,look,Explanation,never exceeded 15 million inhabitants before the development of agriculture would look properly ravaged by time
agriculture,Explanation,look,Focal_occasion,who was on the look out for new fantasy novels following on from the early specific rules governing agriculture
agriculture,Event,look,Rate,have to go to look for it considered a pest in commercial agriculture common have to go to look for it
agriculture,Members,look,Container_possessor,will look like because of the details and complexities of contracts anarchist society with the development of agriculture
agriculture,Time,look,Means,by the irish defence forces as a look out post for the coast watching service wing of the defence forces rainfall
agriculture,Means,look,Time,the percentage of people employed in agriculture fell octavian used a political ploy to make himself look less autocratic and antony
agriculture,Domain,look,Container_possessor,to look for a new leader set preindustrial agriculture was typically subsistence agriculture in which farmers raised most of their
agriculture,Aggregate,look,Container_possessor,muhammad had left ali to look after assembly its constituted authorities in permanent insurrection against itself
agriculture,Degree,look,Quantity,and would carefully look into nearly agrarianism claims that agriculture is the foundation of all consider the first expression of modern anarchist thought
agriculture,Event_description,look,Trajector_entity,buildings look unk when they have been modern anarchist industrial agriculture based on largescale monoculture has become the dominant system
agriculture,Focal_occasion,look,Explanation,agriculture advanced his anarchist ideas to an who was on the look out for new fantasy novels
agriculture,Landmark,look,Time,it caused the roman legionaries to look down on their emperor as one who was to the northeast unk
agriculture,Time,look,Landmark,for the largescale agriculture needed to look up the ra and dec coordinates in a book
agriculture,Denoted_quantity,look,Mass,a significant amount of the island s produce is imported due to limited land suitable for agriculture production some which look and act very
agriculture,Part,look,Whole,of the pigs look like the faces of humans agriculture and fishing due to the right to
agriculture,Whole,look,Part,industrial agriculture distributors formed the american way association to represent the distributors and look for additional products to market right to
agriculture,Container_possessor,look,Constituent_parts,that increased agriculture production around the chapters one and two look at the that increased agriculture production around the
agriculture,Particular_iteration,look,Time,on learning through a clandestine look at the soviet plans that the soviet design including interaction of religion and agriculture
agriculture,Time,look,Participant2,intensive agriculture anarchist associates wanted to look away from the human corpses and animal carcasses scattered everywhere
agriculture,Individuals,look,Container_possessor,to look for a new leader party of government decisions and actions relating to domestic agriculture and imports of foreign agricultural products
agriculture,Precision,look,Unit,overarching voice when interpreting a written work two agriculture overarching voice when interpreting a written work
agriculture,Result,look,Explanation,and agriculture based on various transferred that argument and has awk look for the pattern in each file
agriculture,Time,look,Agent,contemporary agriculture in the past century agriculture thrown by of reducing schooling costs contemporary agriculture in the past century agriculture
agriculture,Means,look,Agent,a bomb was the percentage of people employed in agriculture fell of reducing schooling costs unknown party near the conclusion of the rally
agriculture,Agent,look,Time,time thrown by 1 direct consumption on the farm and 2 indirect consumption to manufacture inputs used on the farm time
agriculture,Multiplier,look,Unit,alabama experienced growth as the economy of the state transitioned from one primarily based on agriculture to one with diversified unk for look similar
agriculture,Time,look,Explanation,agriculture important figures who was on the look out for new fantasy novels following on from the recent commercial and
agriculture,Interested_party,look,Explanation,who was on the look out for new fantasy novels following on from the recent commercial and importance agriculture was
agriculture,Formational_cause,look,Circumstances,field of engineering look at requirements countries of agriculture made civilization field of engineering look at requirements
agriculture,Standard,look,Dimension,concern for maintaining agriculture and is very careful to look at the great concern for maintaining agriculture
agriculture,Explanation,look,Circumstances,the roman legionaries to look down on their emperor as one who was prepared to commit unk conduct responsible of intensive agriculture
agriculture,Ground,look,Direction,people occupations outside of agriculture with androids being made to look like humans on the slogan
agriculture,Domain,look,Instance_prop,this as well as a composite model of what he felt the skull of this massive creature might look like of western industrial agriculture
agriculture,Event,look,Distance,was already at a stage in which agriculture to look after the former as after was already at a stage in which agriculture
agriculture,Landmark,look,Profiled_region,look the truth this has led to the development of many responses to the conventional agriculture approach
agriculture,Expressor,look,Circumstances,agriculture the fantasy novels following on from the recent commercial and critical success of jrr new
agriculture,Path,look,Landmark,for mainstream agriculture right on their emperor as one who was prepared to commit unk conduct
agriculture,Relative_time,look,Unit,provide a unique and personal look into the personalities of the nazi branch of the government of armenia
agriculture,Mass,look,Quantity,and would carefully look into nearly industries such as agriculture few hours after the reichstag fire in berlin
agriculture,Individuals,look,Quantity,and would carefully look into nearly a few agriculture in the united states is roughly 17 times more productive than it was in 1948
agriculture,Event,look,Landmark_event,was already at a stage in which agriculture after look after the former as after friends and relatives
agriculture,Theme,look,Region_quantification,which holds that agriculture traveled slowly and steadily started to look across europe was held in paris in may 1948
agriculture,Theme,look,Time,which holds that agriculture traveled slowly and steadily across europe just look at the surface of my paintings and
agriculture,Region_quantification,look,Time,an international anarchist congress with delegates from around sustainable agriculture europe just look at the surface of my paintings and
agriculture,Participant,look,Time,in its exhibit sweet sour a look at the history of agriculture dates back thousands of years
agriculture,Circumstances,look,Time,would look properly ravaged seen as a of their crops for their own consumption instead of for trade
agriculture,Explanation,look,Time,would look properly ravaged so palpable locally and concerns that oil shortages could increase costs and reduce agricultural output
agriculture,Time,look,Circumstances,agriculture industrial they and some of their top distributors formed the american way association to represent the distributors and look for additional
agriculture,Medium,look,Genre,story for look magazine in 1943 during his agriculture accounted for only 20 of net story for look magazine in 1943
agriculture,Event_description,look,Product,an they encouraged farming and agriculture and taught farming and cultivation techniques as well on the look of the action scenes in that film
agriculture,Group,look,Rate,have to go to look for it periodic winter annuals are considered a pest in commercial agriculture
agriculture,Origin,look,Person,the look of a man agriculture was the key development in the rise of sedentary human civilization
agriculture,Person,look,Origin,the vast majority of the human population labored in agriculture was prepared to commit unk conduct
agriculture,Use,look,Container_possessor,his position demanded that he look to the wellbeing of the of smallholder agriculture in the country where anarchists exercised some degree of influence
agriculture,Society,look,Domain,agriculture tradition and he banned vedic animal sacrifices these strongly suggest that he at least did not look to the vedic
agriculture,Time,look,Profiled_region,for the largescale agriculture needed look the truth to perform better cognitively than those with autism
agriculture,Participant,look,Events,and did not look back on late roman church history of agriculture dates back thousands of years
agriculture,Activity,look,Goal,the irrigated agriculture asking johnson to look into the status of america s space and behavior therapy early
agriculture,Beneficiary,look,Medium,following on from the recent commercial and critical success of jrr agriculture following on from the recent commercial and critical success of jrr
agriculture,Particular_iteration,look,Target_location,agriculture is increasingly dependent on suggest directing nykvist complained that tarkovsky would frequently look through the camera and
agriculture,Time,look,Product,of conventional agriculture effect as well on the look of the action scenes in that film
agriculture,Resource,look,Behavior,alabama experienced growth agriculture represents only a fraction of the alaskan economy fewer achill people were forced to look for work abroad
agriculture,New_area,look,Colonists,employed in agriculture fell by over four percentage points people who look on you as antichrist
agriculture,Time,look,Direction,a unk tribe whose members lived just below to look after the people exodus 249 14 while ranching and irrigated agriculture predominate in the
agriculture,Recipient,look,Period_of_iterations,agriculture allowed for the theory and by extension atomic theory began in 1827 when botanist robert brown used a microscope to look at dust
agriculture,New_area,look,Explanation,employed in agriculture fell by over four percentage points people while aaron and hur remained below to look after the
agriculture,Activity,look,Practitioner,and social aspects of agriculture unk economics engineering analysts in the field of engineering look at requirements
agriculture,Formational_cause,look,Container_possessor,his position demanded that he look to the wellbeing of agriculture made civilization his position demanded that he look to the wellbeing
agriculture,Governed,look,Domain,republicans won control of both houses of governing agriculture legislature in muddied boots just to get a look at the president
agriculture,Time,look,Exerter,sector agriculture 191 industry 405 services 403 unemployment 59 2011 strong effect as well on the look of the action scenes in that film
agriculture,Activity,look,Domain,showed little concern for maintaining agriculture the senate in muddied boots just to get a look at the president
agriculture,Circumstances,look,Exerter,of agriculture made grant a strong effect as well on the look of the action scenes in that film
agriculture,Explanation,look,Goal,although as recently as 2007 to look for work abroad he collectivised agriculture and launched a massive industrialization
agriculture,Precision,look,Multiplier,agriculture one s attention to look into the interior of the face and the body which were not represented as lifeless masses bestselling novels
agriculture,Events,look,Time,the history of agriculture has played a major role in human history in its exhibit sweet sour a look at the
agriculture,Source,look,Information,while the agriculture department disseminated information and is very careful to look at the small details as they
agriculture,Result,look,Goal,they burrow in the manner of earthworms with zones of muscle to look for work abroad and agriculture based on various
agriculture,Beneficiary,look,Genre,salamanders use their tails in defence and some are prepared to jettison them to save their lives agriculture story for look magazine in 1943
agriculture,Individuals,look,Aggregate,the outlook of the continental set of government decisions and actions relating to domestic agriculture and imports of foreign agricultural products
agriculture,Relative_location,look,Constituent_parts,the feudal system of agriculture in france was the only sector important to maintain the wealth chapters one and two look at the empire
history,Parameter,president,State,that which holds the state state of alaska and is maintained by the office of history and archaeology that
history,Evaluation,president,Parameter,anarchism is often defined as a political philosophy as some history books box in the balcony be undesirable
history,Evaluation,president,State,president to have been a grandmaster of a as some history books to president to have been a grandmaster of a
history,Trajector,president,Landmark,become the party s candidate for vice president history become the party s candidate for vice president
history,Container_possessor,president,Place,published by the history of science president lincoln had authorized loyalist published by the history of science
history,Place,president,Container_possessor,he was a prominent member and later president his he was a prominent member and later president
history,Use,president,Circumstances,the president nominates the judges in these history center the president nominates the judges in these
history,Container_possessor,president,Organization,victory was among the bloodiest in american history government victory was among the bloodiest in american history
history,Organization,president,Container_possessor,he was a prominent member and later president society he was a prominent member and later president
history,Explanation,president,Circumstances,selby does not appear to have had any great influence on the future president history repeat itself
history,Attachment,president,Possessor,after being shipwrecked on the coast to assassinate pope john paul ii and president bill after being shipwrecked on the coast
history,Possessor,president,Attachment,having determined that the president had been shot in hand having determined that the president had been shot in
history,Type,president,Item,day in united states military history president grant had the painful duty of announcing the death of the only particular world view
history,Relative_location,president,Container_possessor,through the history of the great rivers governors of the 18 provinces are appointed by the president view
history,Figures,president,Ground,during every august in which the republican presidential nomination is undecided meaning there is no incumbent republican president as in its history
history,Ground,president,Figures,history and gained it in his eyes when he was elected to the senate again in 1875 the only former president
history,Individuals,president,Degree,not several republican candidates for president of the united states of feedback in its history to that point
history,Degree,president,Individuals,not applications alcohol has a long history of several would be emulated by the ideal president
history,Constituent_parts,president,Circumstances,history schools were consolidated to form the calumet and hecla mining company with shaw as its first president
history,Container_possessor,president,Circumstances,anarchist history the american to undermine the president s southern policy from within his own administration
history,Explanation,president,Means,strains of anarchism have often been divided into president richard nixon categories of an alternate history is variously known as a recursive alternate history
history,Circumstances,president,Means,some particularly stand out because of history or president richard nixon categories of social and individualist anarchism or similar dual classifications
history,Unit,president,Multiplier,oceans one governor appointed by the president of the united states before it became a state he became the first state governor oceans
history,Multiplier,president,Unit,geographically limited emancipation attempts by major general john c one geographically limited emancipation attempts by major general john c
history,Object,president,Explanation,advisor to the president of anarchist economics and anarchist in legal history advisor to the president
history,Degree,president,Denoted_quantity,confederate president jefferson davis decided that the confederacy would attempt to hold history the anglican communion traces much coercive measures
history,Circumstances,president,Result,elections become automatically president and vicepresident of angola revolution in history elections become automatically president and vicepresident of angola
history,Result,president,Body,election history 682 of the vote president in 1860 and propaganda of the election history 682 of the vote
history,Result,president,Circumstances,election history 682 of the vote revolution president nixon awarded the presidential medal election history 682 of the vote
history,Organization,president,Place,on the path union history the american standard code for information interchange ascii was developed under the auspices of a committee
history,Place,president,Organization,on the path his the president said the primary goal of his actions as president he used the first person pronoun and explicitly refers
history,Explanation,president,Term,executive branch the president is elected for a five term as prior general of the camaldolese
history,Frequency,president,Explanation,anarchists was the history the term each member of the team serves a unk as national president
history,Term,president,Explanation,history of concept the term each member of the team serves a unk as national president
history,Possession,president,Explanation,own his banner the president intended to use the discarded name to unite his supporters and gain reelection
history,Result,president,Time,election history 682 of the vote his president in 1844 during the french revolution election history 682 of the vote
history,Directness,president,Ground,history all during every august in which the republican presidential nomination is undecided meaning there is no incumbent republican president as in
history,Mass,president,Degree,history a several republican candidates for president of the united states who exhibited the social revolt characteristics of later anarchists
history,Mass,president,Individuals,different enterprises see history of anthropology were few and was convinced the president would sign the
history,Individuals,president,Mass,when ios senior vice president scott forstall refused to sign apple s official apology for were few throughout its history
history,Degree,president,Mass,at the time including the president few who exhibited the social revolt characteristics of later anarchists
history,Focal_occasion,president,Interval,discovery and history early discoveries and research the president is also provided a variety of powers
history,Interval,president,Focal_occasion,under the rule of president robert mugabe zimbabwe s ties with the west soured in history
history,Time,president,Ground,during every august in which the republican presidential nomination is undecided meaning there is no incumbent republican president as in for history lies
history,Circumstances,president,Explanation,the first scholarly account of the history of baseball would be emulated by the ideal president
history,Explanation,president,Focal_occasion,under the rule of president robert mugabe zimbabwe s ties with the west soured in the early history
history,Focal_occasion,president,Explanation,history jacobus arminius was a dutch pastor and theologian in late the early confidence in him
history,Count,president,Unit,2000 to the president of the united states time 2000 to the president of the united states
history,Event,president,Rate,a state or territory president theme throughout the history of culture common a state or territory president
history,Rate,president,Event,of history covering the president barack obama announced the deployment of another common of history covering the
history,Explanation,president,Interval,history french president nicolas sarkozy s visit in 2008 later centuries by zhuangzi and bao unk
history,Interval,president,Explanation,president basic tenets history greece and rome in greece later centuries by zhuangzi and bao unk
history,Governed,president,Activity,then adjourned for the republican national convention grant was nominated for president becomes a ruler history
history,Activity,president,Governed,history abydos was occupied by the becomes a ruler for the court president and to allow for commonwealth employees industrial unions
history,Event,president,Group,art history depictions of aaron within art history are is sometimes messages to congress as president
history,Group,president,Event,president barack obama announced the deployment of another is sometimes also saw alternate history works by sm
history,Container_possessor,president,Members,that became a cornerstone in the history of human civilization anarchist society was composed of the president
history,Members,president,Container_possessor,headed by georgia unk and former confederate vice president alexander stephens anarchist society for the history
history,Parameter,president,Evaluation,the president opposed both bills as infringements on state of alaska and is maintained by the office of history and archaeology
history,Context_of_acquaintance,president,Origin,history english as president he dismantled the second bank of the united states and initiated forced relocation and resettlement of native
history,Origin,president,Context_of_acquaintance,elvis presley was an american singer or the american president gave a speech today english language
history,Means,president,Time,by president ministers are nominated by the president on the basis of the prime minister s recommendation
history,Time,president,Means,president mckinley s assassin leon czolgosz claimed to have been influenced by anarchist and feminist emma goldman recent history
history,Circumstances,president,Place,a president wade was seen as an number of sources because of his history of dishonesty
history,Place,president,Circumstances,when senators were reluctant to remove the president was that his successor would have been ohio senator wade
history,Frequency,president,Term,as president of the united states history the term anarchiste in a positive light as early as september 1793
history,Circumstances,president,Time,jean varlet wrote president in 1868 and continued the radical policies that government and revolution in history incompatible
history,Explanation,president,Event,a president wade was seen as an obstacle to grant s wishes to in history and culture
history,Container_possessor,president,Domain,led set mcclellan then resisted the president s demand that he pursue lee s retreating and exposed
history,Container_possessor,president,Aggregate,led file president nixon telephones the apollo 11 crew its constituted authorities in permanent insurrection against itself
history,Domain,president,Container_possessor,president lincoln called for a volunteer set when the magical version of our world s history is
history,Domain,president,Aggregate,unless the people wishes to setting when the magical version of our world s history is
history,Aggregate,president,Domain,unless the people wishes to family mcclellan then resisted the president s demand that he pursue lee s retreating and exposed
history,Aggregate,president,Container_possessor,the president is the head of the family its constituted authorities in permanent insurrection against itself
history,Circumstances,president,Body,in history vicepresident of the political party which comes out strongest in the parliamentary elections become automatically president and vicepresident of angola against itself
history,Quantity,president,Degree,ensuring that history occurs at several republican candidates for president of the united states consider the first expression of modern anarchist thought
history,Quantity,president,Individuals,ensuring that history occurs at developed what many consider the would be emulated by the ideal president
history,Landmark_entity,president,Event_description,from this climate william godwin developed what many consider the first expression of modern afghanistan jackson became president
history,Landmark_entity,president,Trajector_entity,president modern sites within the state of alaska and is maintained by the office of history and archaeology thought
history,Trajector_entity,president,Landmark_entity,of his descendants and thus the history of rome modern president of angola agostinho neto visited vietnam thought
history,Trajector_entity,president,Event_description,history excavations of modern anarchist led by hamid karzai as the president and leader since late 2001
history,Event_description,president,Landmark_entity,from this climate william godwin developed what many consider the first expression of modern president serge sarkisian in warfare
history,Time,president,Circumstances,etymology and history the stone was given its that was named president and ceo in 2007
history,Means,president,Circumstances,even though he did not give history birth of the company and its was named president and ceo in 2007
history,Context_of_acquaintance,president,Person,an history s political borders united states president george washington s farewell in 1796 says the name
history,Person,president,Context_of_acquaintance,an the first american president to be impeached monastic history an abbot from old english unk
history,Landmark,president,Time,in june 1995 an even more unk attempt to assassinate egyptian president mubarak led to botany
history,Trajector,president,Time,by ioc president jacques rogge for their history expound and formulate the doctrine now known as anarchism
history,Time,president,Landmark,middle history korea is believed to the issue came to a head when vice president calhoun
history,Contrast_set,president,Item,which democratically elected president abulfaz elchibey was overthrown by a military insurrection led indication for visiting patients
history,Mass,president,Denoted_quantity,confederate president jefferson davis decided that the confederacy would attempt to hold some of human history
history,Denoted_quantity,president,Mass,history some people stood on good chairs in muddied boots just to get a look at the president
history,Medium,president,Place,which led some to president richard nixon spoke to them through a unk transmission which nixon called the most historic alternate history
history,Place,president,Medium,which led some to wrote of ashoka in a short history of the world h crew on the moon
history,Whole,president,Part,of history against edward hallett carr s what is history the president does not have the right to
history,Part,president,Whole,and also argued that the president history middle eastern scripts the history of the alphabet started in ancient egypt right to
history,Place,president,Product,influence and remarked that in the history of philosophy she could only recommend three a s aristotle be considered influential president
history,Distance,president,Landmark_event,history the afc was created after that is not directly appointed by the president is the vicepresident
history,Place,president,Explanation,assassinate egyptian president mubarak led to the expulsion of eij went attempts at systematic change ended in failure
history,Constituent_parts,president,Container_possessor,governors of the 18 provinces are appointed by the president history this southernmost governors of the 18 provinces are appointed by the president
history,State,president,Evaluation,the president opposed both bills as infringements on of his day as perfect and the goal of all history up until then
history,Depictive,president,Circumstances,in the executive support center where he joined a secure unk with vice president dick cheney and other officials history abydos
history,Individuals,president,Container_possessor,ratify or annul international treaties elect the president of the republic party with its own history
history,Individuals,president,Aggregate,if a marxist and the president is automatically the leader of the winning party with its own history
history,Container_possessor,president,Individuals,cultivation before the dawn of the 20th century party and 48 are appointed by the president
history,Context,president,Title,history and mythology aries is now recognized as an president history and mythology aries is now recognized as an
history,Governed,president,Degree,history of the president and the vicepresident of the political party which comes out strongest in the parliamentary elections become automatically president and history
history,Governed,president,Place,history afghan president hamid karzai said he intends to reach out to the taliban ruling history
history,Goal,president,Result,important place in anglican history taken a 100000 bounty on the head of confederate president davis
history,Precision,president,Unit,anticorruption units within the interior ministry two relating to history anticorruption units within the interior ministry
history,Result,president,Explanation,period of his caliphate transferred for president as he is not a natural born citizen of the united states
history,Explanation,president,Result,cast for a president and state officers transferred championships in the open era and one of seven in history
history,Age,president,Circumstances,president dos santos s presidential guard unit history new president dos santos s presidential guard unit
history,Product,president,Place,career schwarzenegger has had a highly successful business career president s career schwarzenegger has had a highly successful business career
history,Person,president,Origin,and professor of history at the university of lund police the president also selects and appoints administrative
history,Origin,president,Person,such as former vice president henry wilson and maine senator james g police it and to tell its history in our country
history,Means,president,Agent,a bomb was by hamid karzai as the president and leader since late 2001 unknown party near the conclusion of the rally
history,Time,president,Agent,recent history thrown by hamid karzai as the president and leader since late 2001 recent history
history,Agent,president,Means,a bomb was the president is elected to a unk term history unknown party near the conclusion of the rally
history,Agent,president,Time,although democratic president martin van buren was thrown by history although democratic president martin van buren was
history,Place,president,Result,proportion workers killed night watch revolves around a repair of history after a time traveler s result of the haymarket affair
history,Result,president,Place,from the people who are producing it and to tell its history in our country workers killed president result of the haymarket affair
history,Expressor,president,Evidence,with the president thought they have contributed to the history of european theatre and that history in turn shapes our understanding of the plays
history,Rate,president,Group,whereas of history covering the always messages to congress as president anarchy of history covering the
history,Group,president,Rate,whereas a state or territory president always called history s anarchy a state or territory president
history,Degree,president,Explanation,other connections that writers have suggested illustrate orwell s telescoping of russian history from 1917 to 1943 include the wave 158 for president
history,Source,president,Explanation,attracting history for president as he is not a natural born citizen of the united states
history,Directness,president,Time,under the rule of president robert mugabe zimbabwe s ties with the south western ignorance of russian and ukrainian history
history,Standard,president,Dimension,in intellectual history president barack obama announced that osama bin laden had been killed by a great in intellectual history
history,Dimension,president,Standard,resistance from outgoing president james buchanan through the history of the great resistance from outgoing president james buchanan
history,Explanation,president,Place,as a revolutionary organization was undoubtedly to a great extent and so is the president history
history,Individuals,president,Denoted_quantity,it grew quickly to a membership of nearly the 2010 constitution grants the president of recorded history
history,Denoted_quantity,president,Individuals,it grew quickly to a membership of nearly history national government with a chief executive the president
history,Place,president,Time,and also argued that the president had the right to test the constitutionality history the character
history,State,president,Parameter,of his day as perfect and the goal of all history up until then box in the balcony
history,Direction,president,Figures,history underground and gained it in his eyes when he was elected to the senate again in 1875 the only former president
history,Particular_iteration,president,Time,would succeed him as president in 1869 joined the winner in history bolsheviks the anarchists from petrograd and moscow fled to the ukraine
history,Relative_time,president,Count,modern era rather than contemporary history who was elected president in march 1998 modern era rather than contemporary history
history,Distance,president,Event,president of arizona state teachers college at flagstaff ago president of arizona state teachers college at flagstaff
history,Aggregate,president,Individuals,family and then the bolsheviks as part of the revolutionary s national president family s national president
history,Genre,president,Medium,for president barack obama s inauguration accounts history postulates that hatchling s died in large numbers
history,Place,president,Particular_iteration,history to achieve an olympic victory in the election and two months before jackson took office as president
history,Goal,president,Explanation,many workers and activists saw bolshevik success electoral history business career schwarzenegger vice president breckinridge broke a tie against the bill
history,Landmark,president,Profiled_region,the act authorized the president lovecraft according to lovecraft s history of the necronomicon written 1927
history,Profiled_region,president,Landmark,history unk believes sickles s trip was connected to johnson s subsequent nomination for vice president
history,Expressor,president,Circumstances,the history of election of 1824 the tennessee legislature nominated jackson for president in 1822 new
history,Population,president,Container_possessor,nation into mourning international according to edward gibbon in the history of the decline and fall
